Time,Status,Pressure,Temperature,BMP Altitude,Max Altitude,Accel_X,Accel_Y,Accel_Z,Rotation_X,Rotation_Y,Rotation_Z,Latitude,Longitude,GPS Altitude,Voltage
1053,0,76211.15625,23.520000457763672,2338.76904296875,2338.76904296875,0.0,0.0,0.0,0.0,0.0,0.0,-21.771705627441406,-43.38125991821289,913.0399780273438,5.164000034332275
1175,0,92238.609375,27.809999465942383,785.5347900390625,2338.76904296875,-0.033518824726343155,-0.3064578175544739,10.673351287841797,4.82940673828125,-0.11444091796875,-0.9918212890625,-21.771705627441406,-43.38125991821289,913.0399780273438,5.131999969482422
1282,0,92241.171875,27.889999389648438,785.304931640625,2338.76904296875,-0.13407529890537262,-0.35913026332855225,10.721235275268555,4.7454833984375,0.274658203125,-0.9307861328125,-21.771705627441406,-43.38125991821289,913.0399780273438,5.164000034332275
1392,0,92240.4609375,27.940000534057617,785.3683471679688,2338.76904296875,-0.07182604819536209,-0.2968810200691223,10.735600471496582,4.7607421875,0.3204345703125,-1.01470947265625,-21.771705627441406,-43.38125991821289,913.0399780273438,5.159999847412109
1502,0,92242.3125,27.959999084472656,785.201904296875,2338.76904296875,-0.038307227194309235,-0.3208230137825012,10.678139686584473,4.8065185546875,-0.1068115234375,-1.02996826171875,-21.771705627441406,-43.38125991821289,913.0399780273438,5.164000034332275
1612,0,92235.1640625,27.969999313354492,785.843994140625,2338.76904296875,-0.090979665517807,-0.3208230137825012,10.735600471496582,4.73785400390625,0.0,-1.04522705078125,-21.771705627441406,-43.38125991821289,913.0399780273438,5.159999847412109
1722,0,92237.625,27.979999542236328,785.6220092773438,2338.76904296875,-0.033518824726343155,-0.3064578175544739,10.74996566772461,4.73785400390625,0.00762939453125,-0.93841552734375,-21.771705627441406,-43.38125991821289,913.0399780273438,5.131999969482422
1832,0,92242.171875,27.989999771118164,785.215087890625,2338.76904296875,-0.028730420395731926,-0.2968810200691223,10.769119262695312,4.7454833984375,0.02288818359375,-1.03759765625,-21.771705627441406,-43.38125991821289,913.0399780273438,5.133999824523926
1942,0,92240.484375,28.0,785.36572265625,2338.76904296875,-0.047884032130241394,-0.325611412525177,10.716446876525879,4.75311279296875,0.05340576171875,-1.04522705078125,-21.771705627441406,-43.38125991821289,913.0399780273438,5.130000114440918
2052,0,92237.734375,28.0,785.6140747070312,2338.76904296875,-0.1149216815829277,-0.3208230137825012,10.745177268981934,4.78363037109375,0.09918212890625,-0.9613037109375,-21.771705627441406,-43.38125991821289,913.0399780273438,5.131999969482422
2162,0,92241.84375,28.0,785.244140625,2338.76904296875,-0.047884032130241394,-0.3016694188117981,10.682928085327148,4.75311279296875,-0.152587890625,-1.0223388671875,-21.771705627441406,-43.38125991821289,913.0399780273438,5.131999969482422
2272,0,92239.7890625,28.0,785.4291381835938,2338.76904296875,-0.038307227194309235,-0.2968810200691223,10.745177268981934,4.669189453125,-0.0762939453125,-0.98419189453125,-21.771705627441406,-43.38125991821289,913.0399780273438,5.136000156402588
2382,0,92242.203125,28.0,785.2124633789062,2338.76904296875,-0.038307227194309235,-0.3543418347835541,10.721235275268555,4.730224609375,-0.091552734375,-0.9613037109375,-21.771705627441406,-43.38125991821289,913.0399780273438,5.130000114440918
